country,date,daily_vaccinations,people_vaccinated,people_fully_vaccinated,people_unvaccinated,new_people_vaccinated,new_people_fully_vaccinated,daily_occupancy_icu
Lebanon,2022-02-08,14546.0,2458007.0,2061516.0,3276156.915068493,2900.0,7358.0,
Lebanon,2022-02-09,8189.0,2459534.0,2065840.0,3274702.153424658,1527.0,4324.0,
Lebanon,2022-02-10,15496.0,2462097.0,2073432.0,3272211.3917808216,2563.0,7592.0,
Lebanon,2022-02-11,13234.0,2464261.0,2080782.0,3270119.6301369863,2164.0,7350.0,
Lebanon,2022-02-12,2229.0,2464908.0,2081855.0,3269544.868493151,647.0,1073.0,
Lebanon,2022-02-13,2582.0,2465838.0,2083064.0,3268687.106849314,930.0,1209.0,
Lebanon,2022-02-14,12412.0,2467903.0,2090557.0,3266694.34520548,2065.0,7493.0,
Lebanon,2022-02-15,12120.0,2469980.0,2097717.0,3264689.583561644,2077.0,7160.0,
Lebanon,2022-02-16,17890.0,2472856.0,2107939.0,3261885.8219178086,2876.0,10222.0,
Lebanon,2022-02-17,15689.0,2475376.0,2116720.0,3259438.0602739723,2520.0,8781.0,
Lebanon,2022-02-18,9621.0,2476941.0,2122342.0,3257945.298630137,1565.0,5622.0,
Lebanon,2022-02-19,1479.0,2477451.0,2123033.0,3257507.5369863017,510.0,691.0,
Lebanon,2022-02-20,5977.0,2478594.0,2125887.0,3256436.7753424654,1143.0,2854.0,
Lebanon,2022-02-21,11800.0,2481117.0,2131804.0,3253986.01369863,2523.0,5917.0,
Lebanon,2022-02-22,7894.0,2482800.0,2135939.0,3252375.2520547947,1683.0,4135.0,
Lebanon,2022-02-23,9660.0,2484807.0,2140485.0,3250440.49041096,2007.0,4546.0,
Lebanon,2022-02-24,8977.0,2486652.0,2144504.0,3248667.728767123,1845.0,4019.0,
Lebanon,2022-02-25,9537.0,2488336.0,2149033.0,3247055.967123288,1684.0,4529.0,
Lebanon,2022-02-26,1369.0,2488703.0,2149770.0,3246761.2054794524,367.0,737.0,
Lebanon,2022-02-27,6135.0,2489859.0,2152424.0,3245677.443835616,1156.0,2654.0,
Lebanon,2022-02-28,10340.0,2491955.0,2156594.0,3243653.682191781,2096.0,4170.0,
Lebanon,2022-03-01,8553.0,2494296.0,2159931.0,3241384.9205479454,2341.0,3337.0,
Lebanon,2022-03-02,6052.0,2495598.0,2162411.0,3240155.158904109,1302.0,2480.0,
Lebanon,2022-03-03,5360.0,2496478.0,2164673.0,3239347.397260274,880.0,2262.0,
Lebanon,2022-03-04,3108.0,2497089.0,2166058.0,3238808.6356164385,611.0,1385.0,
Lebanon,2022-03-05,455.0,2497183.0,2166325.0,3238786.873972603,94.0,267.0,
Lebanon,2022-03-06,3334.0,2497907.0,2167714.0,3238135.112328767,724.0,1389.0,
Lebanon,2022-03-07,6303.0,2499496.0,2170547.0,3236618.3506849315,1589.0,2833.0,
Lebanon,2022-03-08,4923.0,2500774.0,2172743.0,3235412.589041096,1278.0,2196.0,
Lebanon,2022-03-09,4629.0,2501935.0,2174890.0,3234323.82739726,1161.0,2147.0,
Lebanon,2022-03-10,7873.0,2503773.0,2178509.0,3232558.0657534245,1838.0,3619.0,
Lebanon,2022-03-11,248.0,2503859.0,2178643.0,3232544.304109589,86.0,134.0,
Lebanon,2022-03-12,493.0,2504016.0,2178903.0,3232459.542465754,157.0,260.0,
Lebanon,2022-03-13,689.0,2504168.0,2179198.0,3232379.7808219176,152.0,295.0,
Lebanon,2022-03-14,2280.0,2504820.0,2180156.0,3231800.0191780822,652.0,958.0,
Lebanon,2022-03-18,3183.0,2509376.0,2189077.0,3227532.97260274,695.0,1547.0,
Lebanon,2022-03-19,545.0,2509534.0,2189382.0,3227447.210958904,158.0,305.0,
Lebanon,2022-03-20,2197.0,2510153.0,2190327.0,3226900.4493150683,619.0,945.0,
Lebanon,2022-03-21,3355.0,2510964.0,2191957.0,3226161.687671233,811.0,1630.0,
Lebanon,2022-03-22,3095.0,2511718.0,2193591.0,3225479.9260273976,754.0,1634.0,
Lebanon,2022-03-23,3602.0,2512571.0,2195380.0,3224699.1643835614,853.0,1789.0,
Lebanon,2022-03-24,1039.0,2512813.0,2195885.0,3224529.402739726,242.0,505.0,
Lebanon,2022-03-25,1647.0,2513216.0,2196809.0,3224198.6410958907,403.0,924.0,
Lebanon,2022-03-26,727.0,2513472.0,2197075.0,3224014.8794520544,256.0,266.0,
Lebanon,2022-03-27,2749.0,2514136.0,2198355.0,3223423.117808219,664.0,1280.0,
Lebanon,2022-03-28,1106.0,2514417.0,2198831.0,3223214.356164384,281.0,476.0,
Lebanon,2022-03-29,5728.0,2516012.0,2201517.0,3221691.5945205484,1595.0,2686.0,
Lebanon,2022-03-30,3753.0,2517039.0,2203184.0,3220736.832876712,1027.0,1667.0,
Lebanon,2022-03-31,1801.0,2517433.0,2204062.0,3220415.0712328767,394.0,878.0,
Lebanon,2022-04-04,1113.0,2518602.0,2206847.0,3219535.0246575344,280.0,430.0,
Lebanon,2022-04-05,2581.0,2519231.0,2207785.0,3218978.263013699,629.0,938.0,
Lebanon,2022-04-06,1427.0,2519564.0,2208379.0,3218717.501369863,333.0,594.0,
Lebanon,2022-04-07,1144.0,2519809.0,2208784.0,3218544.7397260275,245.0,405.0,
